27,http://watch-series-tv.to/serie/Betrayal_Knows_My_Name_Uragiri_wa_Boku_no_Namae_o_Shitteiru,84.0,1.0,2.0,7.0,18.0,2.0,0.0,41.0,7.0,15.0,5.0,59.0,0.0,10.0,0.0,0.0
35,http://popupads.ir/blog/?tag=%da%a9%d8%a7%d9%87%d8%b4-%d9%85%d9%88%d9%82%d8%aa%db%8c-%d9%be%d8%a7%d9%be-%d8%a2%d9%be-%d8%a7%d9%88%d9%84-%d8%a8%d9%87-15-%d8%b1%db%8c%d8%a7%d9%84,169.0,1.0,0.0,6.0,11.0,2.0,0.0,106.0,24.0,8.0,4.0,0.0,0.0,0.0,152.0,147.0
95,http://watch-series-tv.to/serie/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,80.0,1.0,2.0,7.0,18.0,2.0,0.0,41.0,7.0,15.0,5.0,55.0,0.0,10.0,0.0,0.0
105,http://popupads.ir/blog/?tag=%da%a9%d8%b3%d8%a8-%d8%af%d8%b1%d8%a2%d9%85%d8%af-%d8%a7%d8%b2-%d9%be%d8%a7%d9%be-%d8%a2%d9%be,116.0,1.0,0.0,6.0,11.0,2.0,0.0,106.0,18.0,8.0,4.0,0.0,0.0,0.0,99.0,94.0
125,http://megafilmeshd.net/scooby-doo-13-contos-assustadores-dia-de-surf/Histats.start,76.0,2.0,0.0,47.0,16.0,2.0,0.0,248.0,13.0,12.0,45.0,13.0,1.0,0.0,0.0,0.0
129,http://megafilmeshd.net/the-internets-own-boy-the-story-of-aaron-swartz/Histats.start,78.0,2.0,0.0,49.0,16.0,2.0,0.0,248.0,13.0,12.0,47.0,13.0,1.0,0.0,0.0,0.0
130,http://couchtuner.eu.com/2014/07/hot-in-cleveland-s5-e13-people-feeding-people.html,76.0,3.0,0.0,9.0,17.0,3.0,0.0,56.0,14.0,10.0,4.0,50.0,1.0,7.0,0.0,0.0
131,http://conservativetribune.com/jordan-releases-footage-of-bombers-raining-down-99-seconds-of-raw-hell-on-isis/,103.0,1.0,0.0,80.0,23.0,2.0,0.0,225.0,16.0,19.0,78.0,0.0,0.0,0.0,0.0,0.0
165,http://popupads.ir/blog/?tag=%da%a9%d8%b3%d8%a8-%d8%af%d8%b1%d8%a2%d9%85%d8%af-%d8%a7%d8%b2-%d8%a7%db%8c%d9%86%d8%aa%d8%b1%d9%86%d8%aa,127.0,1.0,0.0,6.0,11.0,2.0,0.0,106.0,21.0,8.0,4.0,0.0,0.0,0.0,110.0,105.0
167,http://conservativetribune.com/huge-difficulty-michelle-says-she-faces-in-white-house/,79.0,1.0,0.0,56.0,23.0,2.0,0.0,225.0,12.0,19.0,54.0,0.0,0.0,0.0,0.0,0.0
177,http://conservativetribune.com/nra-makes-massive-announcement-about-eric-holders-replacement/,86.0,1.0,0.0,63.0,23.0,2.0,0.0,225.0,11.0,19.0,61.0,0.0,0.0,0.0,0.0,0.0
186,http://conservativetribune.com/breaking-amtrak-train-crashes-in-philadelphia-these-photos-are-shocking/,96.0,1.0,0.0,73.0,23.0,2.0,0.0,225.0,13.0,19.0,71.0,0.0,0.0,0.0,0.0,0.0
197,http://conservativetribune.com/wp-content/themes/NewsReport/lib/shortcodes/css/shortcodes.css?ver=4.1.5,96.0,4.0,0.0,49.0,23.0,2.0,0.0,225.0,11.0,19.0,10.0,14.0,1.0,0.0,10.0,5.0
208,http://couchtuner.eu.com/2014/01/community-s5-e3-basic-intergluteal-numismatics.html,77.0,3.0,0.0,9.0,17.0,3.0,0.0,56.0,13.0,10.0,4.0,51.0,1.0,5.0,0.0,0.0
224,http://conservativetribune.com/alert-benghazi-eyewitnesses-unable-testify-horrifying/,78.0,1.0,0.0,55.0,23.0,2.0,0.0,225.0,9.0,19.0,53.0,0.0,0.0,0.0,0.0,0.0
230,http://conservativetribune.com/breaking-rev-billy-graham-makes-major-announcement-about-ferguson/,90.0,1.0,0.0,67.0,23.0,2.0,0.0,225.0,12.0,19.0,65.0,0.0,0.0,0.0,0.0,0.0
244,http://conservativetribune.com/video-russian-deputy-pm-openly-laughs-at-obamas-sanctions/,82.0,1.0,0.0,59.0,23.0,2.0,0.0,225.0,12.0,19.0,57.0,0.0,0.0,0.0,0.0,0.0
260,http://conservativetribune.com/wp-content/plugins/easy-social-share-buttons/assets/css/big/easy-social-share-buttons.min.css?ver=1.3.9.8.2,131.0,7.0,0.0,61.0,23.0,2.0,0.0,225.0,15.0,19.0,25.0,33.0,2.0,3.0,14.0,9.0
267,http://popupads.ir/blog/?tag=%da%a9%d8%b3%d8%a8-%d8%af%d8%b1%d8%a2%d9%85%d8%af-%d8%a7%d8%b2-%d8%b3%d8%a7%db%8c%d8%aa-%d9%be%d8%a7%d9%be-%d8%a2%d9%be,141.0,1.0,0.0,6.0,11.0,2.0,0.0,106.0,21.0,8.0,4.0,0.0,0.0,0.0,124.0,119.0
