url|length_of_url|number_of_dots|number_of_hyphens_in_domain|length_of_directory|length_of_domain|words_in_domain|has_alexa_rank|country_code|words|length_of_largest_domain_token|length_of_largest_path_token|len_of_filename|num_dot_in_filename|num_delims_in_filename|length_of_arguments|length_of_largest_variable
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2F0O6lnXYsvqbZdQeG+%E7%A9%B4%E3%81%AE%E5%A5%A5%E3%81%AE%E3%81%84%E3%81%84%E7%A7%98%E9%83%A82+%23ero+%23douga+%23agesage|256.0|2.0|0.0|1.0|11.0|2.0|1.0|225.0|39.0|7.0|0.0|4.0|0.0|0.0|240.0|232.0
http://mixi.jp/system/app_beacon.pl?beacon_params=cmFua2luZ19hbGxfdG9wLDQwNzUyIDQwNzk2IDQwODAyIDQwNzk5IDQwNjAwIDQwMzI0IDM5ODI4IDM5MTg5IDQwMzg1IDM5NzMzIDQwNzkxIDI1NjY5IDMyMjkxIDQwNDEzIDM5ODMxIDMyMDAyIDQwNDg4IDQwNzcwIDM1MzU1IDMxOTU5|223.0|2.0|0.0|8.0|7.0|2.0|1.0|225.0|8.0|4.0|6.0|13.0|1.0|1.0|195.0|180.0
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%BB%E5%88%B6%E6%9C%8D%E7%B3%BB%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FMH8qKrs2P8nlvO3y+%E7%94%A3%E5%A9%A6%E4%BA%BA%E7%A7%91%E3%81%A7%E4%B8%AD%E5%87%BA%E3%81%97%E3%81%95%E3%82%8C%E3%82%8B%EF%BC%AA%EF%BC%AB+%23ero+%23douga+%23agesage|345.0|2.0|0.0|1.0|11.0|2.0|1.0|225.0|51.0|7.0|0.0|4.0|0.0|0.0|329.0|321.0
http://xvideo-jp.com/archives/category/%e5%a4%a9%e5%ae%ae%e3%81%be%e3%82%8a%e3%82%8b|77.0|1.0|1.0|19.0|13.0|2.0|1.0|111.0|16.0|9.0|8.0|45.0|0.0|0.0|0.0|0.0
http://ero-advertising.com/blog/eroadvertising-launches-secure-api-to-export-stats-data|80.0|1.0|1.0|6.0|19.0|2.0|1.0|160.0|13.0|15.0|4.0|55.0|0.0|7.0|0.0|0.0
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E7%B4%A0%E4%BA%BA%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FNPoAmah8RvjlXo22+%E3%83%91%E3%82%A4%E3%83%91%E3%83%B3%E5%A5%B3%E5%AD%90%E5%A4%A7%E7%94%9F%E3%80%80%E3%81%BF%E3%82%8620%E6%AD%B3++%23ero+%23douga+%23agesage|285.0|2.0|0.0|1.0|11.0|2.0|1.0|225.0|43.0|7.0|0.0|4.0|0.0|0.0|269.0|261.0
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E7%BE%8E%E5%B0%91%E5%A5%B3%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FGeZjYHXKPwkze2mo+JK%E3%81%AE%E9%83%A8%E5%AE%A4%E7%97%99%E6%94%A3%E3%82%AA%E3%83%8A%E3%83%8B%E3%83%BC%E3%82%92%E7%9B%97%E6%92%AE%EF%BC%81+%23ero+%23douga+%23agesage|302.0|2.0|0.0|1.0|11.0|2.0|1.0|225.0|47.0|7.0|0.0|4.0|0.0|0.0|286.0|278.0
http://himado.in/?keyword=%E3%81%86%E3%81%9F%E3%81%AE%E2%98%86%E3%83%97%E3%83%AA%E3%83%B3%E3%82%B9%E3%81%95%E3%81%BE%E3%81%A3%E2%99%AA%20%E3%83%9E%E3%82%B8LOVE%E3%83%AC%E3%83%9C%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA|233.0|1.0|0.0|1.0|9.0|2.0|1.0|225.0|31.0|6.0|0.0|0.0|0.0|0.0|223.0|214.0
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E7%B4%A0%E4%BA%BA%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FNPoAmah8RvjlXo22+%E3%83%91%E3%82%A4%E3%83%91%E3%83%B3%E5%A5%B3%E5%AD%90%E5%A4%A7%E7%94%9F%E3%80%80%E3%81%BF%E3%82%8620%E6%AD%B3++%23ero+%23douga+%23agesage|285.0|2.0|0.0|1.0|11.0|2.0|1.0|225.0|42.0|7.0|0.0|4.0|0.0|0.0|269.0|261.0
http://xvideo-jp.com/xvideos-av%E3%82%A2%E3%83%83%E3%83%97%E3%82%B9%E3%83%88%E3%83%AA%E3%83%BC%E3%83%A0-%E6%9C%80%E6%96%B0%E3%81%AE%E7%84%A1%E6%96%99%E3%82%A8%E3%83%AD%E5%8B%95%E7%94%BB|178.0|1.0|1.0|1.0|13.0|2.0|1.0|111.0|34.0|9.0|0.0|164.0|0.0|2.0|0.0|0.0
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E7%B4%A0%E4%BA%BA%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FzmDvRyl0vZtvTGgO+%E3%82%A2%E3%83%8A%E3%83%AB%E3%81%AB%E3%83%AD%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%92%E5%85%A5%E3%82%8C%E3%81%9F%E3%81%BE%E3%81%BE%EF%BC%B3%EF%BC%A5%EF%BC%B8+%23ero+%23douga+%23agesage|327.0|2.0|0.0|1.0|11.0|2.0|1.0|225.0|44.0|7.0|0.0|4.0|0.0|0.0|311.0|303.0
